Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
1:29 AM 2022-08-03,78.3 °F,61.0 °F,55 %,NE,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,0 w/m² 
1:34 AM 2022-08-03,78.4 °F,61.0 °F,55 %,NE,0.3 mph,0.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:39 AM 2022-08-03,78.3 °F,61.0 °F,55 %,NE,0.3 mph,0.6 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:44 AM 2022-08-03,77.8 °F,61.2 °F,57 %,NE,0.1 mph,0.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:49 AM 2022-08-03,77.0 °F,61.2 °F,58 %,NE,0.4 mph,0.8 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:54 AM 2022-08-03,77.0 °F,60.9 °F,58 %,NE,0.4 mph,0.8 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:59 AM 2022-08-03,77.3 °F,60.8 °F,57 %,NE,0.5 mph,0.8 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:04 AM 2022-08-03,77.6 °F,60.7 °F,56 %,NE,0.8 mph,1.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:09 AM 2022-08-03,77.8 °F,60.9 °F,56 %,NE,0.5 mph,0.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:14 AM 2022-08-03,77.5 °F,60.6 °F,56 %,NE,0.8 mph,1.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:19 AM 2022-08-03,77.6 °F,60.7 °F,56 %,NE,0.6 mph,0.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:24 AM 2022-08-03,77.7 °F,60.9 °F,56 %,NE,0.5 mph,0.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:29 AM 2022-08-03,77.2 °F,60.9 °F,57 %,NE,0.1 mph,0.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:34 AM 2022-08-03,76.7 °F,60.9 °F,58 %,NE,0.0 mph,0.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:39 AM 2022-08-03,76.2 °F,60.9 °F,59 %,NE,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:44 AM 2022-08-03,75.8 °F,61.1 °F,60 %,NE,0.1 mph,0.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:49 AM 2022-08-03,75.7 °F,60.8 °F,60 %,NE,0.1 mph,0.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:54 AM 2022-08-03,76.2 °F,60.5 °F,58 %,NE,0.0 mph,0.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
2:59 AM 2022-08-03,76.6 °F,60.6 °F,58 %,NNE,0.9 mph,1.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:04 AM 2022-08-03,76.4 °F,61.1 °F,59 %,NNE,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:09 AM 2022-08-03,75.6 °F,61.3 °F,61 %,NNE,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:14 AM 2022-08-03,74.7 °F,60.9 °F,62 %,NNE,0.2 mph,0.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:19 AM 2022-08-03,74.6 °F,60.4 °F,61 %,North,0.4 mph,0.7 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:24 AM 2022-08-03,75.3 °F,60.0 °F,59 %,,0.2 mph,0.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:29 AM 2022-08-03,75.7 °F,60.1 °F,59 %,NW,1.1 mph,1.5 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:34 AM 2022-08-03,76.4 °F,60.2 °F,57 %,NW,0.8 mph,1.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
3:39 AM 2022-08-03,76.6 °F,60.6 °F,58 %,NW,0.4 mph,0.5 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:44 AM 2022-08-03,76.2 °F,60.7 °F,59 %,NW,0.3 mph,0.6 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
3:49 AM 2022-08-03,75.2 °F,61.3 °F,62 %,NW,0.2 mph,0.5 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
3:54 AM 2022-08-03,74.7 °F,60.7 °F,62 %,NNW,0.2 mph,0.5 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
3:59 AM 2022-08-03,74.2 °F,61.6 °F,65 %,NNE,0.0 mph,0.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:04 AM 2022-08-03,73.6 °F,61.2 °F,65 %,NNE,0.0 mph,0.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:09 AM 2022-08-03,73.6 °F,60.9 °F,64 %,,0.2 mph,0.6 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:14 AM 2022-08-03,74.5 °F,60.4 °F,62 %,,0.4 mph,0.7 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
4:19 AM 2022-08-03,75.4 °F,61.0 °F,61 %,NNW,0.2 mph,0.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
4:24 AM 2022-08-03,75.0 °F,61.1 °F,62 %,NNW,0.2 mph,0.4 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:29 AM 2022-08-03,74.2 °F,61.2 °F,64 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
4:34 AM 2022-08-03,73.5 °F,61.4 °F,66 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:39 AM 2022-08-03,73.0 °F,61.5 °F,67 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:44 AM 2022-08-03,72.5 °F,61.5 °F,69 %,NNW,0.0 mph,0.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:49 AM 2022-08-03,72.2 °F,60.9 °F,68 %,NNW,0.0 mph,0.2 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
4:54 AM 2022-08-03,73.7 °F,61.0 °F,64 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
4:59 AM 2022-08-03,73.4 °F,61.8 °F,67 %,NNW,0.0 mph,0.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:04 AM 2022-08-03,72.0 °F,61.6 °F,70 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:09 AM 2022-08-03,71.5 °F,61.6 °F,71 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:14 AM 2022-08-03,71.3 °F,61.6 °F,72 %,NNW,0.0 mph,0.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:19 AM 2022-08-03,71.1 °F,61.2 °F,71 %,NNW,0.1 mph,0.2 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:24 AM 2022-08-03,71.1 °F,61.2 °F,71 %,NNW,0.1 mph,0.3 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:29 AM 2022-08-03,71.1 °F,61.2 °F,71 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:34 AM 2022-08-03,71.2 °F,61.1 °F,70 %,NNW,0.0 mph,0.2 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:39 AM 2022-08-03,72.2 °F,61.4 °F,69 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:44 AM 2022-08-03,72.2 °F,61.3 °F,69 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
5:49 AM 2022-08-03,72.5 °F,61.4 °F,68 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
5:54 AM 2022-08-03,72.3 °F,61.9 °F,70 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
5:59 AM 2022-08-03,72.2 °F,61.6 °F,70 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
6:04 AM 2022-08-03,72.5 °F,61.8 °F,69 %,NNW,0.0 mph,0.2 mph,29.92 in,0.00 in,0.00 in,0,1.2 w/m² 
6:09 AM 2022-08-03,71.9 °F,61.9 °F,71 %,NNW,0.0 mph,0.1 mph,29.92 in,0.00 in,0.00 in,0,2.1 w/m² 
6:14 AM 2022-08-03,71.5 °F,61.9 °F,72 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,4.3 w/m² 
6:19 AM 2022-08-03,71.2 °F,62.2 °F,73 %,NNW,0.0 mph,0.1 mph,29.92 in,0.00 in,0.00 in,0,6.9 w/m² 
6:24 AM 2022-08-03,71.3 °F,61.9 °F,72 %,NNW,0.1 mph,0.2 mph,29.92 in,0.00 in,0.00 in,0,10.4 w/m² 
6:29 AM 2022-08-03,71.6 °F,62.0 °F,72 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,13.3 w/m² 
6:34 AM 2022-08-03,72.3 °F,61.9 °F,70 %,NNW,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,17.3 w/m² 
6:39 AM 2022-08-03,73.0 °F,62.2 °F,69 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,20.8 w/m² 
6:44 AM 2022-08-03,72.7 °F,62.7 °F,71 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,25.6 w/m² 
6:49 AM 2022-08-03,72.7 °F,62.6 °F,71 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,28.1 w/m² 
6:54 AM 2022-08-03,73.5 °F,62.4 °F,68 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,32.1 w/m² 
6:59 AM 2022-08-03,74.6 °F,62.5 °F,66 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,36 w/m² 
7:04 AM 2022-08-03,75.9 °F,62.7 °F,64 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,41.1 w/m² 
7:09 AM 2022-08-03,76.7 °F,63.0 °F,63 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,43.8 w/m² 
7:14 AM 2022-08-03,77.2 °F,63.2 °F,62 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,49.8 w/m² 
7:19 AM 2022-08-03,78.2 °F,63.4 °F,60 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,55.4 w/m² 
7:24 AM 2022-08-03,78.6 °F,63.9 °F,61 %,NNW,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,59.8 w/m² 
7:29 AM 2022-08-03,78.7 °F,63.8 °F,60 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,64.1 w/m² 
7:34 AM 2022-08-03,78.2 °F,63.2 °F,60 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,72.4 w/m² 
7:39 AM 2022-08-03,78.9 °F,63.2 °F,59 %,NNW,0.0 mph,0.2 mph,29.93 in,0.00 in,0.00 in,0,92.7 w/m² 
7:44 AM 2022-08-03,79.0 °F,62.6 °F,57 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,0,99.3 w/m² 
7:49 AM 2022-08-03,79.5 °F,62.2 °F,55 %,NNW,0.0 mph,0.0 mph,29.93 in,0.00 in,0.00 in,1,111.4 w/m² 
7:54 AM 2022-08-03,80.3 °F,62.1 °F,54 %,NNW,0.2 mph,0.3 mph,29.93 in,0.00 in,0.00 in,1,116.6 w/m² 
7:59 AM 2022-08-03,80.6 °F,62.1 °F,54 %,NNW,0.6 mph,0.9 mph,29.93 in,0.00 in,0.00 in,1,125.3 w/m² 
8:04 AM 2022-08-03,80.3 °F,62.0 °F,54 %,NNW,0.3 mph,0.4 mph,29.93 in,0.00 in,0.00 in,1,135.3 w/m² 
8:09 AM 2022-08-03,80.8 °F,62.4 °F,54 %,NNW,0.3 mph,0.6 mph,29.93 in,0.00 in,0.00 in,1,140.4 w/m² 
8:14 AM 2022-08-03,80.8 °F,62.1 °F,53 %,NNW,0.2 mph,0.3 mph,29.93 in,0.00 in,0.00 in,1,141.4 w/m² 
8:19 AM 2022-08-03,81.7 °F,62.2 °F,52 %,NNW,0.0 mph,0.1 mph,29.93 in,0.00 in,0.00 in,1,167.9 w/m² 
8:24 AM 2022-08-03,82.1 °F,62.2 °F,51 %,North,1.7 mph,2.2 mph,29.93 in,0.00 in,0.00 in,1,178.6 w/m² 
8:29 AM 2022-08-03,80.8 °F,61.4 °F,52 %,East,3.7 mph,4.2 mph,29.93 in,0.00 in,0.00 in,2,202.9 w/m² 
8:34 AM 2022-08-03,80.6 °F,61.0 °F,51 %,ESE,4.0 mph,4.8 mph,29.93 in,0.00 in,0.00 in,2,211.6 w/m² 
8:39 AM 2022-08-03,80.6 °F,60.7 °F,51 %,ESE,3.7 mph,4.2 mph,29.94 in,0.00 in,0.00 in,2,223.8 w/m² 
8:44 AM 2022-08-03,81.0 °F,61.2 °F,51 %,ESE,4.3 mph,5.0 mph,29.93 in,0.00 in,0.00 in,2,258 w/m² 
8:49 AM 2022-08-03,81.0 °F,61.0 °F,51 %,ESE,3.9 mph,4.7 mph,29.94 in,0.00 in,0.00 in,2,260.7 w/m² 
8:54 AM 2022-08-03,81.2 °F,60.9 °F,50 %,ESE,4.6 mph,5.4 mph,29.94 in,0.00 in,0.00 in,2,292.8 w/m² 
8:59 AM 2022-08-03,81.0 °F,60.8 °F,50 %,East,4.9 mph,5.7 mph,29.94 in,0.00 in,0.00 in,3,344 w/m² 
9:04 AM 2022-08-03,81.3 °F,61.0 °F,50 %,ESE,4.8 mph,5.5 mph,29.94 in,0.00 in,0.00 in,3,354.4 w/m² 
9:09 AM 2022-08-03,81.8 °F,60.9 °F,49 %,SE,5.4 mph,6.0 mph,29.94 in,0.00 in,0.00 in,3,340.1 w/m² 
9:14 AM 2022-08-03,81.8 °F,61.0 °F,49 %,SE,4.5 mph,5.1 mph,29.94 in,0.00 in,0.00 in,4,436.7 w/m² 
9:19 AM 2022-08-03,81.9 °F,61.0 °F,49 %,ESE,3.8 mph,4.3 mph,29.94 in,0.00 in,0.00 in,4,429.4 w/m² 
9:24 AM 2022-08-03,82.1 °F,61.2 °F,49 %,ESE,3.7 mph,4.5 mph,29.94 in,0.00 in,0.00 in,5,555.7 w/m² 
9:29 AM 2022-08-03,82.8 °F,60.3 °F,47 %,ESE,0.7 mph,1.0 mph,29.94 in,0.00 in,0.00 in,4,464.1 w/m² 
9:34 AM 2022-08-03,83.6 °F,61.5 °F,47 %,ESE,4.1 mph,4.8 mph,29.94 in,0.00 in,0.00 in,4,485.8 w/m² 
9:39 AM 2022-08-03,83.2 °F,60.9 °F,47 %,East,2.2 mph,2.9 mph,29.94 in,0.00 in,0.00 in,4,511.9 w/m² 
9:44 AM 2022-08-03,83.1 °F,60.7 °F,47 %,East,3.3 mph,4.0 mph,29.95 in,0.00 in,0.00 in,5,528.7 w/m² 
9:49 AM 2022-08-03,83.2 °F,60.6 °F,47 %,East,2.6 mph,3.3 mph,29.95 in,0.00 in,0.00 in,5,532.7 w/m² 
9:54 AM 2022-08-03,83.6 °F,60.7 °F,46 %,ESE,2.3 mph,3.5 mph,29.95 in,0.00 in,0.00 in,5,540.8 w/m² 
9:59 AM 2022-08-03,84.2 °F,60.9 °F,46 %,East,3.5 mph,4.2 mph,29.94 in,0.00 in,0.00 in,5,548.7 w/m² 
10:04 AM 2022-08-03,83.7 °F,60.0 °F,45 %,ENE,1.4 mph,2.0 mph,29.94 in,0.00 in,0.00 in,5,550.5 w/m² 
10:09 AM 2022-08-03,84.3 °F,60.8 °F,45 %,East,4.4 mph,5.2 mph,29.94 in,0.00 in,0.00 in,5,541.8 w/m² 
10:14 AM 2022-08-03,83.9 °F,59.9 °F,44 %,ENE,2.3 mph,2.8 mph,29.94 in,0.00 in,0.00 in,5,544.4 w/m² 
10:19 AM 2022-08-03,84.8 °F,60.0 °F,43 %,East,1.5 mph,2.0 mph,29.94 in,0.00 in,0.00 in,5,582.6 w/m² 
10:24 AM 2022-08-03,84.7 °F,60.2 °F,44 %,East,3.6 mph,4.6 mph,29.94 in,0.00 in,0.00 in,6,619 w/m² 
10:29 AM 2022-08-03,84.6 °F,60.4 °F,44 %,ESE,5.5 mph,6.3 mph,29.94 in,0.00 in,0.00 in,6,629.8 w/m² 
10:34 AM 2022-08-03,84.3 °F,59.8 °F,44 %,ESE,3.0 mph,3.5 mph,29.94 in,0.00 in,0.00 in,6,642.9 w/m² 
10:39 AM 2022-08-03,85.2 °F,59.8 °F,42 %,SE,4.3 mph,5.1 mph,29.95 in,0.00 in,0.00 in,6,650.2 w/m² 
10:44 AM 2022-08-03,84.3 °F,59.1 °F,43 %,ESE,2.5 mph,3.3 mph,29.95 in,0.00 in,0.00 in,6,619.9 w/m² 
10:49 AM 2022-08-03,85.3 °F,59.5 °F,42 %,West,1.8 mph,2.4 mph,29.94 in,0.00 in,0.00 in,5,614.6 w/m² 
10:54 AM 2022-08-03,85.6 °F,59.7 °F,42 %,SE,5.4 mph,6.4 mph,29.94 in,0.00 in,0.00 in,5,573.4 w/m² 
10:59 AM 2022-08-03,85.7 °F,59.8 °F,42 %,SE,5.9 mph,7.0 mph,29.94 in,0.00 in,0.00 in,5,580.8 w/m² 
11:04 AM 2022-08-03,84.9 °F,59.8 °F,43 %,ESE,3.1 mph,3.9 mph,29.94 in,0.00 in,0.00 in,5,582.6 w/m² 
11:09 AM 2022-08-03,85.8 °F,59.4 °F,41 %,NE,1.3 mph,1.7 mph,29.94 in,0.00 in,0.00 in,5,605.9 w/m² 
11:14 AM 2022-08-03,85.5 °F,59.9 °F,42 %,NW,3.4 mph,3.9 mph,29.94 in,0.00 in,0.00 in,6,660.2 w/m² 
11:19 AM 2022-08-03,86.0 °F,60.3 °F,42 %,East,6.1 mph,7.4 mph,29.94 in,0.00 in,0.00 in,6,693.7 w/m² 
11:24 AM 2022-08-03,85.7 °F,60.1 °F,42 %,East,5.3 mph,6.0 mph,29.94 in,0.00 in,0.00 in,6,691.4 w/m² 
11:29 AM 2022-08-03,85.6 °F,59.8 °F,42 %,East,2.8 mph,3.7 mph,29.94 in,0.00 in,0.00 in,6,670.7 w/m² 
11:34 AM 2022-08-03,86.1 °F,59.5 °F,41 %,NE,2.0 mph,2.7 mph,29.94 in,0.00 in,0.00 in,6,674.1 w/m² 
11:39 AM 2022-08-03,86.8 °F,59.6 °F,40 %,ESE,3.2 mph,4.1 mph,29.94 in,0.00 in,0.00 in,7,727.9 w/m² 
11:44 AM 2022-08-03,86.7 °F,59.2 °F,40 %,SE,4.0 mph,4.8 mph,29.94 in,0.00 in,0.00 in,7,727.9 w/m² 
11:49 AM 2022-08-03,86.8 °F,59.1 °F,39 %,SE,4.4 mph,5.3 mph,29.94 in,0.00 in,0.00 in,6,713.1 w/m² 
11:54 AM 2022-08-03,86.7 °F,58.6 °F,39 %,SSE,2.0 mph,2.7 mph,29.94 in,0.00 in,0.00 in,6,702.7 w/m² 
11:59 AM 2022-08-03,88.1 °F,59.3 °F,38 %,SSE,3.9 mph,4.9 mph,29.94 in,0.00 in,0.00 in,6,692.8 w/m² 
12:04 PM 2022-08-03,88.3 °F,59.4 °F,38 %,NE,1.7 mph,2.3 mph,29.95 in,0.00 in,0.00 in,6,697.1 w/m² 
12:09 PM 2022-08-03,89.0 °F,59.6 °F,37 %,SE,2.9 mph,4.0 mph,29.94 in,0.00 in,0.00 in,6,719.2 w/m² 
12:14 PM 2022-08-03,88.0 °F,60.4 °F,40 %,East,5.4 mph,6.6 mph,29.94 in,0.00 in,0.00 in,7,724.8 w/m² 
12:19 PM 2022-08-03,86.8 °F,59.8 °F,40 %,East,4.4 mph,5.9 mph,29.94 in,0.00 in,0.00 in,6,712.2 w/m² 
12:24 PM 2022-08-03,86.7 °F,59.5 °F,40 %,East,3.1 mph,4.3 mph,29.94 in,0.00 in,0.00 in,6,691.9 w/m² 
12:29 PM 2022-08-03,87.2 °F,59.5 °F,39 %,NE,1.9 mph,2.9 mph,29.93 in,0.00 in,0.00 in,6,712.2 w/m² 
12:34 PM 2022-08-03,87.3 °F,59.2 °F,39 %,ENE,1.8 mph,2.3 mph,29.93 in,0.00 in,0.00 in,6,706.2 w/m² 
12:39 PM 2022-08-03,87.8 °F,59.7 °F,39 %,NW,4.2 mph,5.2 mph,29.93 in,0.00 in,0.00 in,6,706.6 w/m² 
12:44 PM 2022-08-03,88.4 °F,60.0 °F,39 %,NNW,3.1 mph,4.1 mph,29.93 in,0.00 in,0.00 in,6,695.4 w/m² 
12:49 PM 2022-08-03,89.5 °F,60.2 °F,38 %,West,2.9 mph,4.0 mph,29.92 in,0.00 in,0.00 in,6,697.6 w/m² 
12:54 PM 2022-08-03,88.7 °F,59.8 °F,38 %,NW,2.5 mph,3.5 mph,29.92 in,0.00 in,0.00 in,6,704 w/m² 
12:59 PM 2022-08-03,88.8 °F,60.4 °F,39 %,ESE,6.2 mph,7.3 mph,29.92 in,0.00 in,0.00 in,6,697.6 w/m² 
1:04 PM 2022-08-03,88.1 °F,60.2 °F,39 %,ESE,7.2 mph,8.8 mph,29.92 in,0.00 in,0.00 in,6,646.8 w/m² 
1:09 PM 2022-08-03,88.0 °F,60.2 °F,39 %,ESE,5.8 mph,6.9 mph,29.92 in,0.00 in,0.00 in,6,660.2 w/m² 
1:14 PM 2022-08-03,88.3 °F,60.1 °F,39 %,ESE,3.9 mph,4.8 mph,29.92 in,0.00 in,0.00 in,6,712.7 w/m² 
1:19 PM 2022-08-03,87.9 °F,59.9 °F,39 %,ESE,2.7 mph,3.3 mph,29.92 in,0.00 in,0.00 in,7,724.3 w/m² 
1:24 PM 2022-08-03,88.6 °F,60.0 °F,38 %,ESE,3.9 mph,5.0 mph,29.92 in,0.00 in,0.00 in,6,700.5 w/m² 
1:29 PM 2022-08-03,88.7 °F,59.8 °F,38 %,ESE,3.4 mph,4.4 mph,29.92 in,0.00 in,0.00 in,6,683.6 w/m² 
1:34 PM 2022-08-03,88.2 °F,59.7 °F,38 %,East,2.7 mph,3.4 mph,29.92 in,0.00 in,0.00 in,6,709.2 w/m² 
1:39 PM 2022-08-03,89.0 °F,59.3 °F,37 %,South,1.0 mph,1.6 mph,29.92 in,0.00 in,0.00 in,7,752.6 w/m² 
1:44 PM 2022-08-03,89.3 °F,59.7 °F,37 %,SE,3.1 mph,3.8 mph,29.92 in,0.00 in,0.00 in,7,754 w/m² 
1:49 PM 2022-08-03,89.9 °F,59.5 °F,36 %,SSE,2.9 mph,3.8 mph,29.92 in,0.00 in,0.00 in,7,742.6 w/m² 
1:54 PM 2022-08-03,89.6 °F,59.7 °F,37 %,SE,3.1 mph,3.9 mph,29.91 in,0.00 in,0.00 in,7,745.6 w/m² 
1:59 PM 2022-08-03,89.3 °F,59.5 °F,37 %,NW,3.2 mph,4.0 mph,29.91 in,0.00 in,0.00 in,7,737.4 w/m² 
2:04 PM 2022-08-03,89.4 °F,59.8 °F,37 %,West,3.0 mph,3.5 mph,29.91 in,0.00 in,0.00 in,7,760.8 w/m² 
2:09 PM 2022-08-03,90.2 °F,59.8 °F,36 %,SSW,1.8 mph,2.6 mph,29.91 in,0.00 in,0.00 in,7,760.8 w/m² 
2:14 PM 2022-08-03,90.2 °F,59.7 °F,36 %,East,2.0 mph,2.8 mph,29.91 in,0.00 in,0.00 in,7,747.8 w/m² 
2:19 PM 2022-08-03,90.3 °F,59.7 °F,36 %,ENE,1.4 mph,2.1 mph,29.90 in,0.00 in,0.00 in,7,737 w/m² 
2:24 PM 2022-08-03,91.4 °F,60.2 °F,35 %,SSE,2.5 mph,3.4 mph,29.91 in,0.00 in,0.00 in,7,754 w/m² 
2:29 PM 2022-08-03,91.1 °F,60.3 °F,36 %,SSE,4.0 mph,4.8 mph,29.91 in,0.00 in,0.00 in,7,742.2 w/m² 
2:34 PM 2022-08-03,90.4 °F,59.7 °F,36 %,SSE,4.0 mph,4.7 mph,29.90 in,0.00 in,0.00 in,6,697.1 w/m² 
2:39 PM 2022-08-03,90.9 °F,59.9 °F,36 %,South,3.1 mph,3.9 mph,29.90 in,0.00 in,0.00 in,6,676.3 w/m² 
